,overall_severity,X
639,2.0,"['kinda', 'stuck', 'rasis', 'r', 'calling', 'u', 'raisin', 'calling', 'u', 'raisin']"
640,2.0,"['ugly', 'ur', 'ugly', 'whoever', 'said', 'dumb']"
641,2.0,"['u', 'come', 'name', 'moo', 'name', 'moo']"
642,2.0,"['well', 'probablly', 'like', 'diaper', 'like', 'well', 'probablly', 'like', 'diaper', 'like']"
643,2.0,"['wan', 'na', 'fuk', 'wan', 'na', 'fuck']"
644,2.0,"['sex', 'sex']"
645,2.0,"['talk', 'shit', 'total', 'calm', 'calm', 'get', 'big', 'dick', 'talk', 'shit', 'total']"
646,2.0,"['call', 'bitch', 'fake', 'bitch', 'fake']"
647,2.0,"['dick', 'dick', 'face']"
648,2.0,"['ur', 'lameskeez', 'fool', 'ur', 'lameskeez', 'fool']"
649,2.0,"['look', 'gay', 'look', 'gay', 'face', 'look', 'gay', 'look', 'gay']"
650,2.0,"['whore', 'whore']"
651,2.0,"['bisexy', 'bisexy']"
652,2.0,"['hate', 'hate']"
653,2.0,"['u', 'gay', 'hello', 'bxtch', 'clea', 'itt', 'mi', 'ish', 'bxtch', 'bitch']"
654,2.0,"['dare', 'fight', 'first', 'poster', 'insulting', 'poster', 'talking', 'fighting']"
655,2.0,"['loser', 'must', 'dull', 'life', 'loser']"
656,2.0,"['tabitha', 'isnt', 'fake', 'fuck', 'anonmous', 'tabitha', 'isnt', 'fake', 'fuck']"
657,2.0,"['cant', 'fuck', 'get', 'girl', 'cant', 'fuck']"
658,2.0,"['care', 'care', 'maybe', 'saying']"
659,2.0,"['shuddup', 'fool', 'shut', 'fool']"
660,2.0,"['negro', 'suck', 'yo', 'dick', 'suck', 'yo', 'dik']"
661,2.0,"['guy', 'fagit', 'guy', 'fagit']"
662,2.0,"['fake', 'faaaaake', 'call', 'people', 'fake']"
663,2.0,"['stop', 'stealing', 'man', 'came', 'came', 'stealing']"
664,2.0,"['really', 'rude', 'dunno', 'really', 'rude']"
665,2.0,"['gay', 'u', 'gay']"
666,2.0,"['bitch', 'bitch']"
667,2.0,"['need', 'bullshit', 'person', 'posting', 'question', 'using', 'foul', 'language', 'seemed', 'little', 'insulting', 'said', 'need', 'bullshit']"
668,2.0,"['think', 'hot', 'think', 'hot']"
669,2.0,"['mean', 'mean']"
670,2.0,"['know', 'shitt', 'mw2', 'girl', 'blood', 'suck', 'video', 'game', 'pshhhhhh', 'dont', 'know', 'shittt', 'mw2', 'get', 'level', 'maybe', 'talk', 'hahahaha']"
671,2.0,"['fucking', 'life', 'fucking', 'life', 'fucking', 'ur', 'life']"
672,2.0,"['ffffff', 'uuuu', 'fffff', 'uuuu']"
673,2.0,"['fu', 'assuming', 'fu', 'mean', 'fuck', 'offensive', 'term', 'may', 'indicative', 'bullying']"
674,2.0,"['big', 'as', 'dating', 'big', 'as']"
675,2.0,"['cut', 'gon', 'na', 'cut']"
676,2.0,"['baaaaybeeeee', 'baaaaybeeee']"
677,2.0,"['soooo', 'ur', 'gay', 'man', 'soooo', 'ur', 'gay', 'man', 'kinda', 'girly']"
678,2.0,"['lot', 'guy', 'top', 'ur', 'girl', 'dani', 'lot', 'guy', 'top', 'sure', 'u', 'nothing', 'worry']"
679,2.0,"['spam', 'hey', 'get', 'way', 'many', 'question', 'day', 'spam', '5', 'question', 'day', 'please', 'remove', 'list', 'still', 'spam', 'want', 'want', 'spamming', 'tell', 'nicely', 'inbox', 'thanks']"
680,2.0,"['friend', 'hoe', 'as', 'bitch', 'daniela', 'hoe', 'as', 'bitch', 'daniela']"
681,2.0,"['entire', 'question', 'dumbass', 'leave', 'france', 'alone', 'seriously', 'dumbass']"
682,2.0,"['f', 'u', 'http', 'www', 'youtube', 'com', 'watch', 'v', 'w', 'rapoovx1y', 'feature', 'related', 'f', 'u']"
683,2.0,"['sicko', 'sick', 'much', 'sex']"
684,2.0,"['u', 'r', 'conseded', 'biatch', 'u', 'sure', 'every', 'body', 'like', 'u', 'u', 'luv', 'puting', 'every', 'body', 'u', 'tlk', 'ppl', 'body', 'else', 'dose', 'u', 'make', 'dem', 'feel', 'bad', 'get', 'life', 'wait', 'im', 'srry', 'old', 'r', 'grow', 'uppp', 'r', 'dont', 'care', 'ppl', 'like', 'find', 'something', 'better', 'doo', 'instead', 'tlking', 'shit', 'formspring', 'fuck', 'would', 'care', 'little', 'pussy', 'sayysss', 'patheticcccc', 'u', 'r', 'conseded', 'biatch', 'get', 'life', 'fuck', 'would', 'care', 'little', 'pussy', 'sayysss', 'patheticcccc']"
685,2.0,"['dick', 'name', 'dick']"
686,1.0,"['dirty', 'mouth', 'dirty', 'mouth']"
687,1.0,"['gay', 'r', 'u', 'gay']"
688,1.0,"['im', 'serious', 'dont', 'like', 'dont', 'talk', 'u', 'ignore', 'ignore', 'like']"
689,1.0,"['gay', 'gay']"
690,1.0,"['like', 'oral', 'sex', 'sex', 'better', 'oral', 'sex']"
691,1.0,"['said', 'somethn', 'thr', 'said', 'somethn', 'im', 'dum']"
692,1.0,"['gag', 'reflex', 'u', 'gag', 'reflex']"
693,1.0,"['stop', 'yolll', 'needa', 'stop', 'callin', 'sexii', 'ahh', 'gurl', 'hoe', 'nohomo', 'name', 'iz', 'hayley', 'uwanna', 'b', 'friend']"
694,1.0,"['know', 'many', 'people', 'dont', 'like', 'claim', 'friend', 'sooooo', 'stfu', 'know', 'many', 'people', 'dont', 'like']"
695,1.0,"['guy', 'soo', 'annyoing', 'hope', 'fuckk', 'offf', 'aujalas', 'pagee', 'hope', 'fuckk', 'offf', 'aujalas', 'pagee']"
696,1.0,"['suck', 'suck']"
697,1.0,"['hoe', 'bitch', 'calling', 'someone', 'hoe', 'bitch', 'although', 'end', 'claim', 'joke', 'still', 'used', 'demeaning', 'word']"
698,1.0,"['parent', 'addict', 'parent', 'addict']"
699,1.0,"['ur', 'facebook', 'fake', 'ur', 'facebook', 'fake', 'co', 'saw', '5other', 'facebook', 'diff', 'last', 'name', 'pic', '1', 'proof', 'facebook', 'fake', 'co']"
700,1.0,"['stay', 'formspring', 'stay', 'formspring', 'even', 'know']"
701,1.0,"['know', 'many', 'people', 'mom', 'slept', 'mom', 'slept']"
702,1.0,"['date', 'gurls', 'personality', 'identity', 'dont', 'like', 'u']"
703,1.0,"['omar', 'ugly', 'dudeszz', 'get', 'dnt', 'like', 'who', 'maybe', 'omar', 'ugly']"
704,1.0,"['r', 'u', 'gay', 'gay']"
705,1.0,"['ur', 'lame', 'hahah', 'ur', 'lame']"
706,1.0,"['shuddup', 'shuddup']"
707,1.0,"['3some', 'two', 'hot', 'japanese', 'woman', '3some']"
708,1.0,"['wtf', 'cheek', 'wtf', 'wit', 'ur', 'cheek', 'wtf']"
709,1.0,"['kind', 'man', 'gigglez', 'giggled']"
710,1.0,"['trashy', 'stupid', 'lauraaa']"
711,1.0,"['hate', 'hate']"
712,1.0,['hanging']
713,1.0,"['bitch', 'massage', 'back', 'feed', 'grape', 'bitch']"
714,1.0,"['nigga', 'offends', 'hahaha', 'jkr', 'end', 'vowel', 'nigga']"
715,1.0,"['naw', 'fuk', 'fuk']"
716,1.0,"['fake', 'q', 'call', 'fake']"
717,1.0,"['nosy', 'people']"
718,1.0,"['fool', 'fool']"
719,1.0,"['stupid', 'stupid', 'stupid', 'stupid']"
720,1.0,"['drink', '10', 'year', 'date', 'milk', 'lick', 'camel', 'foreskin', 'give', 'matt', 'wilson', 'head', 'foreskin', 'give', 'head']"
721,1.0,"['people', 'talking', 'shit', 'tired', 'everyone', 'commenting', 'damn', 'formspring', 'talking', 'shit']"
722,1.0,"['bxtch', 'aint', 'gat', 'wood', 'smash', 'tevon', 'k33n', 'bxtch', 'ianit', 'gay', 'cleaa']"
723,1.0,"['ill', 'let', 'linger', 'delete', 'q']"
724,1.0,"['cause', 'ur', 'geek', 'geek']"
725,1.0,"['u', 'touch', 'hair', 'ull', 'die', 'touch', 'hair', 'ull', 'die']"
726,1.0,"['apos', 'fool', 'lol', 'fool']"
727,1.0,"['rug', 'muncher', 'na', 'ever', 'heard', 'rug', 'muncher']"
728,1.0,"['dork', 'dork', 'ima', 'slap']"
729,1.0,"['u', 'dork', 'u', 'dork']"
730,1.0,"['chikies', 'maybe', 'bitchy', 'cattyness', 'refers', 'male', 'general', 'describing', 'shadyness', 'trying', 'player', 'female', 'general', 'bitchy', 'cattyness', 'unlikely', 'bully', 'someone', 'directly', 'rated', 'mild']"
731,1.0,"['didnt', 'slap', 'fanny', 'didnt', 'slap', 'fanny']"
732,1.0,"['would', 'one', 'love', 'u', 'would', 'one', 'love', 'u']"
733,1.0,"['anyone', 'ever', 'told', 'full', 'siht', 'christmas', 'turkey', 'full', 'siht', 'christmas', 'turkey']"
734,1.0,"['f', 'fucking', 'retarded', 'yea', 'f', 'fucking', 'retarded']"
735,1.0,"['call', 'gmac', 'moo', 'call', 'gmac', 'moo']"
736,1.0,"['bastard', 'word', 'bastard', 'way', 'used', 'may', 'suggest', 'bullying', 'prior', 'conversation']"
737,1.0,"['aussie', 'starting', 'get', 'smarter', 'adayz', 'aussie', 'starting', 'get', 'smarter', 'adayz', 'lmao']"
738,1.0,"['name', 'wunt', 'yo', 'cum', 'lipsz']"
739,1.0,"['ewwww', 'ewwwww']"
740,1.0,"['stop', 'asking', 'question', 'followed', 'stop', 'mean', 'reason', 'mean']"
741,1.0,"['dont', 'u', 'last', 'longer', 'dont', 'tell', 'love']"
742,1.0,"['liar', 'bf', 'liar']"
743,1.0,"['really', 'immature', 'really', 'immature', 'really', 'immature']"
744,1.0,"['sex', 'spam', 'pieface']"
745,1.0,"['expressing', 'minimal', 'hate', 'somebody', 'else', 'hate', 'dominic']"
746,1.0,"['prefer', 'hug', 'kiss', 'prefer', 'hug', 'kiss']"
747,1.0,"['ugly', 'youre', 'ugly']"
748,1.0,"['hey', 'horny', 'inappropriate', 'comment', 'horny']"
749,1.0,"['bitch', 'bitch', 'ho', 'stabbing', 'gut']"
750,1.0,"['bitch', 'idgaf', 'bitchh']"
751,1.0,"['oh', 'god']"
752,1.0,"['stupid', 'got', 'together', 'day', 'dumped', 'somthing', 'stupid']"
753,1.0,"['whore', 'whore']"
754,1.0,"['get', 'page', 'whose', 'betaa', 'www', 'formspring', 'kaydollbitchh', 'www', 'formspring', 'rubinathy15']"
755,1.0,"['damn', 'girl', 'cover', 'ur', 'damn', 'as', 'booby']"
756,1.0,"['ur', 'really', 'odd', 'odd']"
757,1.0,"['rape', 'rape']"
758,1.0,"['retarded', 'still', 'call', 'fake', 'operating', 'computer', 'yeah', 'retarded']"
759,1.0,"['started', 'shit', 'pathetic', 'one', 'started', 'shit']"
760,1.0,"['dumbass', 'dumbass']"
761,1.0,"['racooonn', 'stayy', 'maaa', 'shitt', 'please', 'stayy', 'maaa', 'shitt']"
762,1.0,"['wear', 'much', 'makeup', 'calm', 'much', 'makeup', 'comment', 'appearance']"
763,1.0,"['hoe', 'hoee']"
764,1.0,"['user', 'calling', 'people', 'name', 'though', 'response', 'friend', 'made', 'fun', 'mess', 'ya', 'weirdo']"
765,1.0,"['fake', 'liar', 'liar']"
766,1.0,"['jerrrk', 'jerk', 'jerrrk']"
767,1.0,"['australian', 'girl', 'wish', 'could', 'australian', 'girl']"
768,1.0,"['cool', 'nevar', 'talk', 'cool', 'enough', 'top', 'ten']"
769,1.0,"['shut', 'dumpster', 'baby', 'shut', 'dumpster', 'baby']"
770,1.0,"['slut', 'r', 'insert', 'winky', 'face', 'slut', 'r', 'insert', 'winky', 'face']"
771,1.0,"['who', 'bush', 'sniffing', 'pic', 'who', 'bush', 'sniffing', 'pic']"
772,1.0,"['mean', 'ree', 'mean', 'ree']"
773,1.0,"['dumb', 'good', 'nothing', 'people']"
774,0.0,"['http', 'ihatejade', 'com', 'id', 's04t0k8djbpnf8wo9bzvf566wo4vh9', 'fuck', 'care']"
775,0.0,"['ur', 'butt', 'big', 'butt', 'big']"
